word,count,per_million
speech,24954,7598.5
data,14147,4307.8
training,12835,3908.3
models,12522,3813.0
performance,10338,3147.9
speaker,9037,2751.8
features,8122,2473.2
asr,7877,2398.6
set,7623,2321.2
audio,7352,2238.7
different,7244,2205.8
dataset,6607,2011.8
figure,6492,1976.8
encoder,6137,1868.7
learning,6054,1843.5
information,5990,1824.0
language,5712,1739.3
loss,5610,1708.3
input,5589,1701.9
test,5432,1654.1
layer,5402,1644.9
trained,5183,1578.2
feature,5021,1528.9
system,4886,1487.8
speakers,4838,1473.2
task,4777,1454.6
number,4654,1417.2
target,4479,1363.9
while,4457,1357.2
methods,4433,1349.9
work,4404,1341.0
network,4232,1288.7
recognition,4211,1282.3
acoustic,4080,1242.4
text,4034,1228.4
output,3963,1206.7
however,3955,1204.3
experiments,3920,1193.6
time,3893,1185.4
size,3849,1172.0
systems,3718,1132.1
layers,3620,1102.3
baseline,3532,1075.5
rate,3495,1064.2
tasks,3487,1061.8
embedding,3450,1050.5
evaluation,3415,1039.9
accuracy,3293,1002.7
parameters,3291,1002.1
study,3281,999.1
compared,3247,988.7
attention,3246,988.4
word,3241,986.9
better,3192,972.0
noise,3189,971.1
datasets,3179,968.0
samples,3133,954.0
classification,3040,925.7
voice,2981,907.7
utterances,2954,899.5
languages,2915,887.6
decoder,2874,875.1
representations,2843,865.7
neural,2830,861.7
corpus,2789,849.3
embeddings,2760,840.4
quality,2748,836.8
score,2691,819.4
representation,2684,817.3
architecture,2634,802.1
wer,2629,800.5
further,2609,794.4
english,2585,787.1
words,2578,785.0
train,2575,784.1
error,2548,775.9
terms,2523,768.3
transformer,2514,765.5
similar,2501,761.6
without,2490,758.2
best,2488,757.6
function,2474,753.3
module,2463,750.0
domain,2445,744.5
analysis,2442,743.6
signal,2410,733.8
sequence,2396,729.6
pre-trained,2375,723.2
vec,2361,718.9
large,2341,712.8
emotion,2327,708.6
mean,2321,706.7
wav,2277,693.3
utterance,2274,692.4
previous,2271,691.5
average,2199,669.6
scores,2195,668.4
context,2180,663.8
duration,2133,649.5
propose,2115,644.0
prediction,2108,641.9
improve,2106,641.3
significant,2106,641.3
length,2105,641.0
research,2091,636.7
detection,2083,634.3
well,2080,633.4
tts,2080,633.4
source,2073,631.2
following,2070,630.3
frequency,2069,630.0
due,2058,626.7
distribution,2056,626.1
process,2044,622.4
linear,2033,619.1
since,2011,612.4
across,1999,608.7
obtained,1974,601.1
original,1942,591.3
block,1940,590.7
values,1921,584.9
labels,1881,572.8
new,1842,560.9
corresponding,1841,560.6
hours,1840,560.3
sets,1819,553.9
label,1812,551.8
higher,1805,549.6
experimental,1804,549.3
comparison,1793,546.0
studies,1790,545.1
applied,1772,539.6
various,1759,535.6
generated,1744,531.1
level,1738,529.2
high,1731,527.1
single,1727,525.9
framework,1723,524.7
total,1717,522.8
fine-tuning,1704,518.9
pitch,1703,518.6
multiple,1695,516.1
including,1692,515.2
signals,1690,514.6
processing,1679,511.3
spoken,1661,505.8
inference,1649,502.1
evaluate,1641,499.7
found,1624,494.5
overall,1611,490.6
sound,1604,488.4
available,1602,487.8
index,1590,484.2
knowledge,1586,482.9
standard,1582,481.7
clean,1581,481.4
generate,1574,479.3
thus,1574,479.3
participants,1574,479.3
approaches,1565,476.5
ssl,1553,472.9
experiment,1549,471.7
similarity,1545,470.5
because,1544,470.2
frames,1542,469.5
therefore,1541,469.2
phoneme,1538,468.3
tokens,1535,467.4
significantly,1526,464.7
automatic,1523,463.8
conformer,1522,463.5
contains,1521,463.1
extracted,1519,462.5
metrics,1519,462.5
vector,1516,461.6
consists,1515,461.3
sample,1510,459.8
recordings,1509,459.5
lower,1502,457.4
result,1501,457.1
conditions,1498,456.1
ctc,1492,454.3
even,1487,452.8
noisy,1486,452.5
segments,1485,452.2
alignment,1469,447.3
effect,1466,446.4
improvement,1459,444.3
frame,1451,441.8
see,1447,440.6
example,1439,438.2
addition,1419,432.1
reference,1416,431.2
fusion,1415,430.9
human,1400,426.3
weights,1394,424.5
final,1384,421.4
value,1384,421.4
case,1382,420.8
token,1382,420.8
several,1378,419.6
small,1376,419.0
prosody,1370,417.2
https,1370,417.2
perform,1367,416.3
decoding,1365,415.6
additional,1352,411.7
learn,1350,411.1
present,1350,411.1
deep,1340,408.0
obtain,1336,406.8
problem,1334,406.2
adaptation,1316,400.7
future,1315,400.4
objective,1315,400.4
order,1312,399.5
finally,1299,395.5
style,1295,394.3
structure,1293,393.7
temporal,1278,389.2
sentences,1276,388.5
achieve,1275,388.2
blocks,1273,387.6
classifier,1268,386.1
step,1268,386.1
uses,1261,384.0
networks,1259,383.4
selected,1259,383.4
specifically,1258,383.1
convolutional,1253,381.5
four,1250,380.6
librispeech,1249,380.3
class,1248,380.0
ratio,1244,378.8
condition,1243,378.5
space,1242,378.2
interspeech,1241,377.9
introduction,1237,376.7
follows,1236,376.4
stage,1224,372.7
within,1222,372.1
dimension,1221,371.8
sentence,1220,371.5
teacher,1212,369.1
whisper,1211,368.8
random,1210,368.4
many,1209,368.1
low,1208,367.8
differences,1205,366.9
relative,1205,366.9
algorithm,1204,366.6
pre-training,1202,366.0
less,1197,364.5
multilingual,1197,364.5
real,1194,363.6
difference,1186,361.1
abstract,1185,360.8
outputs,1181,359.6
content,1181,359.6
provide,1176,358.1
recent,1174,357.5
presented,1171,356.6
transfer,1170,356.3
base,1167,355.4
range,1165,354.7
out,1160,353.2
predicted,1159,352.9
weight,1155,351.7
probability,1155,351.7
modeling,1153,351.1
hidden,1152,350.8
extract,1151,350.5
works,1151,350.5
augmentation,1151,350.5
achieves,1149,349.9
pairs,1149,349.9
observed,1145,348.7
effective,1143,348.0
achieved,1139,346.8
randomly,1129,343.8
validation,1129,343.8
convolution,1128,343.5
performed,1125,342.6
although,1124,342.3
compare,1123,342.0
group,1121,341.3
part,1117,340.1
accent,1116,339.8
log,1113,338.9
control,1111,338.3
described,1109,337.7
main,1108,337.4
development,1107,337.1
vowel,1107,337.1
like,1104,336.2
evaluated,1102,335.6
denotes,1099,334.6
hubert,1099,334.6
joint,1097,334.0
types,1091,332.2
search,1087,331.0
phonetic,1086,330.7
batch,1083,329.8
note,1083,329.8
related,1082,329.5
important,1081,329.2
still,1080,328.9
downstream,1079,328.6
parameter,1071,326.1
resulting,1069,325.5
natural,1064,324.0
cnn,1064,324.0
end-to-end,1063,323.7
directly,1063,323.7
ser,1062,323.4
steps,1061,323.1
student,1059,322.5
semantic,1058,322.2
possible,1058,322.2
separation,1057,321.9
spectral,1056,321.6
current,1055,321.2
