symbol,count,per_million_words,per_paper
paren (,69260,24641.4,82.26
colon :,25098,8929.4,29.81
percent %,9481,3373.2,11.26
semicolon ;,6634,2360.2,7.88
en_dash –,5272,1875.7,6.26
"double_quote """,4876,1734.8,5.79
bullet •,956,340.1,1.14
em_dash — (Index Terms除く),627,223.1,0.74
triple_hyphen ---,47,16.7,0.06
double_hyphen --,22,7.8,0.03
index_terms_template,1,0.4,0.0
