structure,count
INTRODUCTION > METHOD > RESULTS,6
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,4
INTRODUCTION > METHODS > RESULTS,4
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODS > RESULTS > DISCUSSION,3
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS,3
INTRODUCTION > METHOD > EXPERIMENT > CONCLUSIONS,2
INTRODUCTION > RESEARCH METHODOLOGY > EXPERIMENTAL SETUP AND RESULTS > CONCLUSION,2
INTRODUCTION > METHOD > EXPERIMENTAL SETUP > EVALUATION AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > PROPOSED MODEL > EXPERIMENTS > CONCLUSION,2
INTRODUCTION > MATERIALS AND METHODS > RESULTS > DISCUSSION,2
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHOD > EXPERIMENT > CONCLUSION,2
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHOD > RESULTS > DISCUSSION,2
INTRODUCTION > RELATED WORK > PROPOSED METHOD > EXPERIMENTS > CONCLUSIONS,2
INTRODUCTION > EXPERIMENT > DISCUSSION,2
INTRODUCTION > METHOD > EXPERIMENTS AND RESULTS > CONCLUSIONS,2
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,2
INTRODUCTION > DNN FOR ACOUSTIC AND LANGUAGE MODEL > ETHIOPIAN LANGUAGES > THE SPEECH CORPORA > MULTILINGUAL ACOUSTIC MODELING > LANGUAGE MODELING EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGMENT,1
INTRODUCTION > CORPUS > METHODOLOGY > RESULTS,1
INTRODUCTION > LID WITH DEEP NEURAL NETWORKS > EXPERIMENTAL SETUP > EXPERIMENTAL RESULTS > ADAPTIVE MODEL ANALYSIS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > RELATED WORK > PRIVACY > UTILITY > CONCLUSION,1
INTRODUCTION > DATASETS > ARCHITECTURE > EXPERIMENTAL SETTING,1
INTRODUCTION > DATABASES > METHOD > RESULTS AND DISCUSSION > CONCLUSION,1
INTRODUCTION > DATABASES > PROPOSED APPROACH > EXPERIMENTS AND RESULTS > CONCLUSION > ACKNOWLEDGMENT,1
INTRODUCTION > RELEVANCE BASED REPRESENTATION > EXPERIMENTS AND RESULTS > SUMMARY,1
INTRODUCTION > NETWORK COMPRESSION > EXPERIMENTAL SETTING > RESULTS AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > DIALECTAL SPEECH CORPUS > INTONATION PATTERN DISCOVERY > ACOUSTIC REPRESENTATION LEARNING > EXPERIMENTS > RESULTS AND DISCUSSION > CONCLUSION > ACKNOWLEDGMENTS,1
INTRODUCTION > MATERIAL AND METHODS > EXPERIMENTAL RESULTS,1
INTRODUCTION > BASELINE MODEL > PROPOSED METHOD > EXPERIMENTS AND RESULTS > CONCLUSIONS,1
INTRODUCTION > BACKGROUND > THE LASO MODEL > EXPERIMENTS > CONCLUSIONS AND FUTURE WORKS > ACKNOWLEDGEMENTS,1
INTRODUCTION > BACKGROUND > DATASET,1
INTRODUCTION > RELATED WORK > ADAPTIVE NEURAL SPEECH ENHANCEMENT > EXPERIMENTAL EVALUATION > CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > NEURAL TEXT-TO-SPEECH > SYSTEMS OVERVIEW > EXPERIMENTS AND RESULTS > CONCLUSION,1
INTRODUCTION > RELATED WORK > DATA MATERIAL,1
INTRODUCTION > METHOD > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > DATASET > FEATURE DESCRIPTION > MODEL ARCHITECTURE,1
INTRODUCTION > MATERIALS AND METHODS > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > PROPOSED SYSTEM > EXPERIMENTS > RESULTS AND DISCUSSION > CONCLUSION,1
INTRODUCTION > LOW LATENCY AUDITORY ATTENTION > EXPERIMENTS AND RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
APPROACH > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > METHOD DESCRIPTION > DATASET DESCRIPTION > EXPERIMENTAL SETUP > RESULTS AND ANALYSIS > CONCLUSION,1
INTRODUCTION > RELATED WORK > STSER FRAMEWORK FOR SER > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > RELATED WORKS > METHODOLOGY > EXPERIMENT > CONCLUSION,1
INTRODUCTION > PROPOSED APPROACH: DARTS-ASR > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > SYSTEM DESCRIPTION > DATA,1
INTRODUCTION > METHODOLOGY > EXPERIMENTAL SETUPS,1
INTRODUCTION > RELATED WORK > PROBLEM STATEMENT,1
INTRODUCTION > PARTIALLY SHARED NETWORK FOR > EXPERIMENTAL SETUP,1
INTRODUCTION > MOTIVATION > SYSTEM ARCHITECTURES > TRAINING TECHNIQUES > EXPERIMENTAL RESULTS > CONCLUSION,1
INTRODUCTION > BACKGROUND > IMPROVING TEXT-TO-SPEECH ALIGNMENT > EXPERIMENTS AND RESULTS > CONCLUSIONS,1
INTRODUCTION > PROPOSED METHODS > EXPERIMENT SETUP > RESULTS > CONCLUSIONS AND FUTURE WORK,1
INTRODUCTION > NEURAL NETWORK-BASED BEAMFORMING > SINGLE-CHANNEL POST-FILTERING > EXPERIMENTS AND RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > ALGORITHM DESIGN > SUBJECTIVE EVALUATION,1
INTRODUCTION > SEQUENTIAL LEARNING > HYBRID NETWORK ARCHITECTURE > LATENT VARIABLE REPRESENTATION > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > AUDIOVISUAL LOMBARD SPEECH DATABASE > VISUAL FEATURE EXTRACTION > EVALUATION WITH KERNEL DENSITY,1
INTRODUCTION > RELATED WORK > PROPOSED METHOD > EXPERIMENT > CONCLUSION > ACKNOWLEDGEMENTS,1
