structure,count
INTRODUCTION > METHOD > RESULTS,12
INTRODUCTION > METHODS > RESULTS > DISCUSSION,8
INTRODUCTION > METHODS > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,6
INTRODUCTION > METHOD > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,6
INTRODUCTION > METHODS > RESULTS,4
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS,4
INTRODUCTION > METHOD > RESULTS > CONCLUSIONS,4
INTRODUCTION > METHOD > RESULTS > DISCUSSION,4
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,4
INTRODUCTION > BACKGROUND > PROPOSED ENHANCEMENT FRAMEWORK > EXPERIMENTS AND RESULTS > DISCUSSION AND CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > ACOUSTIC FEATURES FOR PATHOLOGIC VOICES > DIMENSIONALITY REDUCTION > EXPERIMENTAL RESULTS > CONCLUSION AND FUTURE WORK,2
INTRODUCTION > DOA BASED BLIND SPEECH SEPARATION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,2
INTRODUCTION > THAI > EXPERIMENTAL DESIGN AND SETUP > EXPERIMENTAL RESULTS > DISCUSSSION AND FUTURE WORRK,2
INTRODUCTION > EXPERIMENT 1: GENDER IDENTIFICATION > EXPERIMENT 2: VOWEL IDENTIFICATION > GENERAL DISCUSSION AND CONCLUSION > ACKNOWLEDGMENTS,2
METHOD > RESULTS > DISCUSSION AND CONCLUSIONS,2
INTRODUCTION > ASR DRIVEN BY PHONETIC KNOWLEDGE > DETECTION OF BROAD PHONETIC INFORMATION > EXPERIMENTS > CONCLUSIONS,2
INTRODUCTION > RELATED WORK > BUCKEYE CORPUS > PROSODIC PRONUNCIATION MODEL > EXPERIMENTS AND DISCUSSION > CONCLUSIONS AND FUTURE WORK,2
INTRODUCTION > DATA AND SCORING > BBN SAD SYSTEM > BUT SAD SYSTEM > SYSTEM COMBINATION > CONCLUSIONS,2
INTRODUCTION > PROBLEM FORMULATION > EXPERIMENTS AND RESULTS > CONCLUSIONS,2
