symbol,count,per_million_words,per_paper
paren (,96296,26934.1,70.75
colon :,24301,6797.0,17.86
percent %,14762,4129.0,10.85
"double_quote """,6263,1751.8,4.6
semicolon ;,5979,1672.3,4.39
en_dash –,3186,891.1,2.34
bullet •,1463,409.2,1.07
em_dash — (Index Terms除く),512,143.2,0.38
triple_hyphen ---,154,43.1,0.11
double_hyphen --,37,10.3,0.03
index_terms_template,12,3.4,0.01
