word,count,per_million
classifier,7334,311.2
improved,7329,311.0
robust,7325,310.8
correlation,7273,308.6
considered,7245,307.4
reported,7197,305.4
conventional,7197,305.4
pronunciation,7195,305.3
i-vector,7177,304.5
another,7172,304.3
amount,7154,303.6
memory,7148,303.3
outputs,7104,301.5
still,7063,299.7
spectrum,7059,299.5
user,7058,299.5
recent,7049,299.1
normalization,7014,297.6
short,7002,297.1
filter,6972,295.9
main,6926,293.9
components,6915,293.4
spectrogram,6902,292.9
achieve,6900,292.8
ratio,6900,292.8
ctc,6889,292.3
applications,6887,292.2
articulatory,6876,291.8
reduction,6875,291.7
classi,6863,291.2
augmentation,6845,290.5
pairs,6841,290.3
native,6823,289.5
mfcc,6802,288.6
female,6756,286.7
make,6749,286.4
showed,6749,286.4
individual,6737,285.9
estimate,6721,285.2
followed,6718,285.1
provided,6714,284.9
measures,6690,283.9
focus,6681,283.5
classes,6664,282.8
eer,6664,282.8
stage,6662,282.7
instead,6647,282.1
limited,6639,281.7
recording,6622,281.0
whether,6615,280.7
gaussian,6615,280.7
mixture,6613,280.6
characteristics,6610,280.5
perception,6609,280.4
state-of-the-art,6588,279.6
male,6534,277.3
tone,6530,277.1
often,6526,276.9
sequences,6512,276.3
calculated,6509,276.2
convolution,6507,276.1
defined,6490,275.4
next,6486,275.2
either,6447,273.6
unit,6442,273.4
seen,6418,272.3
testing,6399,271.5
control,6399,271.5
recorded,6377,270.6
mandarin,6369,270.3
according,6365,270.1
end,6361,269.9
unsupervised,6344,269.2
extract,6337,268.9
prior,6273,266.2
selection,6273,266.2
prosody,6271,266.1
production,6266,265.9
china,6260,265.6
khz,6257,265.5
lexical,6250,265.2
visual,6243,264.9
initial,6199,263.0
machine,6158,261.3
conducted,6153,261.1
specific,6143,260.7
corpora,6143,260.7
rnn,6135,260.3
setup,6134,260.3
clustering,6132,260.2
syllable,6119,259.7
content,6116,259.5
recently,6100,258.8
metrics,6094,258.6
form,6085,258.2
improvements,6069,257.5
view,6067,257.4
predicted,6065,257.4
maximum,6063,257.3
children,6033,256.0
novel,6024,255.6
common,6018,255.4
microphone,6005,254.8
last,5986,254.0
able,5978,253.7
predict,5972,253.4
energy,5960,252.9
adversarial,5955,252.7
style,5949,252.4
factor,5928,251.5
waveform,5926,251.5
