ngram,count,per_million
for each speaker,1283,54.4
which is the,1276,54.1
it is not,1271,53.9
was set to,1270,53.9
experimental results show,1268,53.8
the development of,1267,53.8
the training and,1263,53.6
as the input,1262,53.6
in the speech,1261,53.5
can see that,1260,53.5
of our proposed,1259,53.4
the same time,1258,53.4
it is possible,1253,53.2
are used as,1253,53.2
we find that,1249,53.0
that it is,1248,53.0
the probability of,1242,52.7
analysis of the,1240,52.6
rest of the,1240,52.6
so that the,1229,52.2
male and female,1228,52.1
of the system,1228,52.1
representation of the,1227,52.1
shown in the,1227,52.1
some of the,1225,52.0
to the baseline,1225,52.0
of the acoustic,1223,51.9
the relationship between,1221,51.8
the loss function,1220,51.8
db db db,1219,51.7
model and the,1219,51.7
convolutional neural networks,1218,51.7
are based on,1215,51.6
the neural network,1212,51.4
is trained on,1211,51.4
this work is,1209,51.3
we propose novel,1209,51.3
is given by,1207,51.2
trained with the,1206,51.2
was supported by,1200,50.9
is trained to,1198,50.8
the effects of,1198,50.8
were asked to,1195,50.7
be found in,1188,50.4
in the literature,1186,50.3
and are the,1185,50.3
in recent years,1184,50.2
focus on the,1183,50.2
we evaluate the,1181,50.1
shown to be,1180,50.1
on top of,1177,49.9
for all the,1177,49.9
state of the,1170,49.6
the acoustic features,1170,49.6
and test sets,1163,49.4
terms of the,1162,49.3
conclusions in this,1162,49.3
to generate the,1161,49.3
large number of,1160,49.2
speakers in the,1158,49.1
in contrast to,1155,49.0
is composed of,1153,48.9
for training the,1150,48.8
and for the,1144,48.5
function of the,1141,48.4
use of the,1138,48.3
version of the,1135,48.2
accuracy of the,1134,48.1
the results show,1132,48.0
results are shown,1132,48.0
the best of,1130,48.0
to compute the,1129,47.9
this is the,1128,47.9
show that our,1125,47.7
to the target,1124,47.7
spoken language understanding,1121,47.6
we compare the,1121,47.6
have shown that,1120,47.5
showed that the,1119,47.5
of the vocal,1118,47.4
along with the,1117,47.4
in fig the,1116,47.4
be able to,1112,47.2
to that of,1112,47.2
addition to the,1106,46.9
this paper presents,1104,46.8
models are trained,1104,46.8
the goal of,1102,46.8
to learn the,1102,46.8
and can be,1100,46.7
gaussian mixture model,1100,46.7
in addition the,1095,46.5
words in the,1092,46.3
were used to,1090,46.3
for training and,1090,46.3
of speech and,1087,46.1
included in the,1083,46.0
be used for,1082,45.9
than that of,1081,45.9
results for the,1078,45.7
acknowledgements this work,1077,45.7
can be obtained,1074,45.6
for example the,1067,45.3
large amount of,1065,45.2
the target language,1064,45.1
to the same,1063,45.1
to make the,1063,45.1
found to be,1062,45.1
the robustness of,1061,45.0
are able to,1060,45.0
encoder and decoder,1056,44.8
as part of,1055,44.8
in other words,1054,44.7
to minimize the,1054,44.7
the degree of,1053,44.7
were used for,1050,44.6
we propose an,1044,44.3
that there is,1043,44.3
and the other,1037,44.0
is the same,1036,44.0
the dimension of,1034,43.9
this paper proposes,1033,43.8
voice activity detection,1032,43.8
in the test,1031,43.7
linear discriminant analysis,1030,43.7
in the future,1030,43.7
amount of data,1029,43.7
features such as,1026,43.5
the baseline model,1021,43.3
because of the,1020,43.3
and it is,1019,43.2
the same speaker,1016,43.1
in the previous,1016,43.1
two types of,1014,43.0
of the three,1010,42.9
the outputs of,1009,42.8
we investigate the,1008,42.8
the paper is,1007,42.7
of the most,1006,42.7
it is also,1005,42.6
of the signal,1004,42.6
speech recognition systems,1003,42.6
in the proposed,1003,42.6
vol no pp,1002,42.5
structure of the,1001,42.5
is trained with,1000,42.4
data from the,998,42.3
is used in,997,42.3
with and without,995,42.2
derived from the,995,42.2
the best results,994,42.2
to capture the,994,42.2
proposed method is,990,42.0
the lack of,990,42.0
the input of,989,42.0
found that the,988,41.9
the role of,987,41.9
to be the,986,41.8
to determine the,986,41.8
of our knowledge,986,41.8
to deal with,985,41.8
equal error rate,985,41.8
present in the,984,41.8
best of our,983,41.7
training and testing,983,41.7
model trained on,978,41.5
the value of,978,41.5
and standard deviation,976,41.4
is possible to,975,41.4
and the number,974,41.3
the evaluation set,973,41.3
corresponds to the,973,41.3
work was supported,972,41.2
to investigate the,971,41.2
subset of the,970,41.2
the range of,970,41.2
training data and,968,41.1
provided by the,966,41.0
end of the,966,41.0
speech and language,965,40.9
speech recognition and,964,40.9
on the same,964,40.9
is one of,964,40.9
of the paper,964,40.9
as follows section,962,40.8
layer of the,961,40.8
for the first,960,40.7
of all the,960,40.7
information about the,959,40.7
and in the,957,40.6
different types of,957,40.6
training and test,956,40.6
illustrated in figure,956,40.6
the basis of,955,40.5
to extract the,955,40.5
the training of,954,40.5
tasks such as,954,40.5
an example of,953,40.4
of the audio,952,40.4
the influence of,952,40.4
goal is to,951,40.4
the input to,945,40.1
standard deviation of,944,40.1
speech and noise,943,40.0
the encoder and,943,40.0
characteristics of the,941,39.9
can be observed,941,39.9
from the training,939,39.8
hours of speech,937,39.8
that our proposed,936,39.7
source and target,934,39.6
of the current,930,39.5
added to the,928,39.4
trained using the,927,39.3
et al proposed,927,39.3
may not be,925,39.3
experiments on the,924,39.2
the input features,924,39.2
the results in,924,39.2
be seen that,923,39.2
the asr system,922,39.1
is obtained by,920,39.0
the distance between,918,39.0
features from the,916,38.9
to measure the,916,38.9
at the end,915,38.8
to address this,911,38.7
in figure we,911,38.7
see that the,910,38.6
which consists of,901,38.2
work we propose,900,38.2
paper we present,900,38.2
the language model,900,38.2
refers to the,897,38.1
speech recognition system,894,37.9
need to be,894,37.9
of the baseline,894,37.9
models trained on,893,37.9
the form of,889,37.7
our experiments we,887,37.6
this can be,884,37.5
usa page abstract,884,37.5
presented in table,884,37.5
the architecture of,883,37.5
we refer to,882,37.4
hidden markov model,881,37.4
we would like,879,37.3
features extracted from,879,37.3
evaluate the performance,878,37.3
dimension of the,877,37.2
and the corresponding,874,37.1
allows us to,871,37.0
information in the,871,37.0
we describe the,871,37.0
in the present,868,36.8
to use the,868,36.8
indicates that the,868,36.8
over the baseline,867,36.8
described in the,867,36.8
input and output,865,36.7
value of the,864,36.7
table of contents,863,36.6
we did not,863,36.6
there are two,862,36.6
to the original,861,36.5
features of the,861,36.5
neural networks for,860,36.5
the mean and,860,36.5
defined as the,860,36.5
effect of the,858,36.4
the need for,853,36.2
for speech enhancement,853,36.2
interspeech table of,853,36.2
of contents page,853,36.2
set to and,852,36.2
end-to-end speech recognition,851,36.1
to increase the,850,36.1
search interspeech detailed,850,36.1
model with the,850,36.1
of the word,849,36.0
and the proposed,849,36.0
on the basis,846,35.9
the purpose of,846,35.9
we assume that,846,35.9
architecture of the,846,35.9
of the output,845,35.9
the sum of,845,35.9
speech in the,844,35.8
our proposed model,844,35.8
in the last,843,35.8
are given in,843,35.8
the validation set,842,35.7
of the encoder,842,35.7
observe that the,839,35.6
different from the,838,35.6
we present the,838,35.6
be used as,838,35.6
results showed that,835,35.4
distance between the,835,35.4
the current study,833,35.3
as input to,833,35.3
the results for,832,35.3
training of the,831,35.3
in the current,830,35.2
in speech recognition,829,35.2
the clean speech,829,35.2
the training process,828,35.1
to the input,828,35.1
of the source,824,35.0
are used in,824,35.0
of the utterance,822,34.9
needs to be,822,34.9
consists of two,822,34.9
is the first,822,34.9
as compared to,821,34.8
inspired by the,820,34.8
to this end,820,34.8
table comparison of,820,34.8
mean and variance,819,34.8
where and are,819,34.8
our previous work,817,34.7
in the experiments,817,34.7
close to the,817,34.7
data in the,816,34.6
using the same,816,34.6
model on the,815,34.6
information from the,815,34.6
shows the results,815,34.6
of the test,814,34.5
on the training,814,34.5
wide range of,812,34.5
like to thank,811,34.4
observed that the,810,34.4
results and discussion,810,34.4
the structure of,806,34.2
the speaker embedding,806,34.2
better performance than,805,34.2
values of the,805,34.2
overview of the,805,34.2
details of the,804,34.1
is trained using,804,34.1
section describes the,804,34.1
that the model,802,34.0
the network is,802,34.0
by means of,801,34.0
future work we,801,34.0
in section and,800,33.9
generated by the,799,33.9
the result of,798,33.9
training data is,797,33.8
where denotes the,797,33.8
in the next,795,33.7
amount of training,794,33.7
to assess the,792,33.6
model can be,791,33.6
have been used,789,33.5
further improve the,789,33.5
to be more,789,33.5
the input and,789,33.5
mean and standard,789,33.5
is an important,786,33.4
during the training,786,33.4
as can be,784,33.3
than the baseline,784,33.3
september dresden germany,784,33.3
the level of,783,33.2
depends on the,782,33.2
of the speakers,782,33.2
can be applied,782,33.2
instead of the,782,33.2
those of the,782,33.2
from the speech,781,33.1
the ability to,780,33.1
experiments show that,780,33.1
of this work,780,33.1
for the task,779,33.1
parts of the,779,33.1
of the asr,778,33.0
natural language processing,773,32.8
in the form,771,32.7
error rate eer,771,32.7
in case of,771,32.7
results suggest that,770,32.7
of the dnn,770,32.7
performance of our,770,32.7
neural networks dnns,769,32.6
it does not,767,32.5
in the input,766,32.5
in the original,766,32.5
for each utterance,763,32.4
results indicate that,762,32.3
mean opinion score,762,32.3
this suggests that,762,32.3
be applied to,762,32.3
in this way,760,32.2
applications such as,760,32.2
and the output,760,32.2
batch size of,760,32.2
training data for,758,32.2
in the target,758,32.2
in line with,757,32.1
as for the,756,32.1
were used as,755,32.0
it should be,755,32.0
of the feature,754,32.0
speech and the,753,32.0
are extracted from,753,32.0
conclusion in this,753,32.0
stochastic gradient descent,752,31.9
outputs of the,751,31.9
to address the,750,31.8
the proposed framework,749,31.8
of the number,748,31.7
was used as,748,31.7
is important to,747,31.7
neural network based,747,31.7
to enhance the,747,31.7
we aim to,747,31.7
however it is,746,31.7
number of frames,746,31.7
neural network cnn,745,31.6
have the same,743,31.5
to compare the,742,31.5
relative to the,742,31.5
shown that the,742,31.5
to find the,742,31.5
data and the,740,31.4
has been used,740,31.4
the process of,738,31.3
we see that,738,31.3
the perception of,735,31.2
for the training,735,31.2
short-term memory lstm,731,31.0
the attention mechanism,730,31.0
word error rates,729,30.9
used in our,729,30.9
we train the,728,30.9
same as the,728,30.9
results in the,727,30.8
this paper the,727,30.8
this is because,727,30.8
for both the,725,30.8
to the model,725,30.8
the model with,725,30.8
in comparison to,724,30.7
model based on,724,30.7
be due to,722,30.6
the input sequence,722,30.6
be used in,721,30.6
found in the,721,30.6
of on the,720,30.6
correspond to the,720,30.6
the contribution of,719,30.5
have been shown,718,30.5
the ratio of,718,30.5
can be trained,717,30.4
recognition asr systems,717,30.4
consistent with the,716,30.4
initial learning rate,716,30.4
fed into the,716,30.4
in our previous,715,30.3
the test data,715,30.3
as input and,714,30.3
features in the,713,30.3
it is important,712,30.2
the details of,709,30.1
model for the,708,30.0
evaluated on the,707,30.0
with the proposed,706,30.0
we set the,705,29.9
fact that the,703,29.8
the difference in,703,29.8
the order of,702,29.8
the advantage of,701,29.7
the percentage of,701,29.7
in the presence,699,29.7
input of the,699,29.7
listed in table,699,29.7
development and test,698,29.6
indicate that the,697,29.6
combination of the,696,29.5
be seen in,696,29.5
such that the,695,29.5
the sequence of,695,29.5
speech recognition in,694,29.4
experimental results on,694,29.4
used to generate,694,29.4
comparison of the,694,29.4
training set and,693,29.4
propose to use,691,29.3
in the range,691,29.3
we need to,691,29.3
is expected to,690,29.3
the mean of,690,29.3
section we describe,690,29.3
to represent the,688,29.2
models were trained,688,29.2
the objective function,688,29.2
presented in section,688,29.2
we hypothesize that,687,29.2
the analysis of,686,29.1
are trained on,686,29.1
that the performance,685,29.1
to further improve,684,29.0
to calculate the,684,29.0
to the number,684,29.0
to identify the,683,29.0
in the past,682,28.9
as illustrated in,682,28.9
use the same,681,28.9
of the previous,681,28.9
is designed to,681,28.9
fig shows the,681,28.9
fully connected layer,681,28.9
we consider the,680,28.9
is the most,679,28.8
the target domain,679,28.8
we plan to,678,28.8
for automatic speech,678,28.8
to be used,678,28.8
to get the,678,28.8
results in table,678,28.8
with learning rate,677,28.7
the intelligibility of,676,28.7
the word error,675,28.6
demonstrate that the,674,28.6
mean square error,674,28.6
of acoustic features,674,28.6
other hand the,674,28.6
the application of,673,28.6
probability of the,672,28.5
this indicates that,672,28.5
evaluation of the,671,28.5
features and the,671,28.5
of deep neural,670,28.4
small amount of,670,28.4
to match the,670,28.4
the beginning of,670,28.4
first and second,670,28.4
information of the,668,28.3
data for the,668,28.3
be noted that,668,28.3
fully connected layers,665,28.2
model in the,665,28.2
was trained on,665,28.2
the production of,663,28.1
half of the,663,28.1
in this experiment,663,28.1
nature of the,663,28.1
is due to,663,28.1
top of the,663,28.1
it consists of,662,28.1
of speech data,660,28.0
make use of,660,28.0
except for the,659,28.0
the average of,658,27.9
description of the,657,27.9
associated with the,657,27.9
and future work,657,27.9
development and evaluation,655,27.8
the best performing,653,27.7
then used to,652,27.7
funded by the,652,27.7
in the data,651,27.6
training data the,651,27.6
to the fact,651,27.6
mixture model gmm,650,27.6
due to its,650,27.6
produced by the,650,27.6
network is trained,650,27.6
is illustrated in,650,27.6
improvement over the,649,27.5
abstract this paper,649,27.5
for this task,648,27.5
the majority of,648,27.5
experiments and results,648,27.5
to the training,648,27.5
for the same,647,27.5
and the second,647,27.5
we believe that,646,27.4
does not require,646,27.4
were able to,645,27.4
on the evaluation,645,27.4
from the input,645,27.4
in table and,645,27.4
the adam optimizer,644,27.3
small number of,643,27.3
the choice of,643,27.3
set to the,643,27.3
for each language,643,27.3
for the two,642,27.2
utterances in the,641,27.2
there has been,640,27.2
connectionist temporal classification,640,27.2
followed by the,638,27.1
given in table,638,27.1
sum of the,636,27.0
to each other,634,26.9
features for the,633,26.9
for speaker recognition,633,26.9
the student model,633,26.9
each of these,632,26.8
model was trained,631,26.8
diagram of the,630,26.7
results are presented,629,26.7
fourier transform stft,628,26.6
time and frequency,628,26.6
the target speech,627,26.6
the system is,626,26.6
when compared to,626,26.6
the input feature,626,26.6
an overview of,625,26.5
of speech quality,624,26.5
is supported by,624,26.5
the correlation between,624,26.5
and on the,622,26.4
mean squared error,621,26.4
and the target,620,26.3
of the art,620,26.3
is described in,620,26.3
at the beginning,620,26.3
are the same,619,26.3
the field of,618,26.2
the source and,618,26.2
the characteristics of,617,26.2
rate of the,616,26.1
is followed by,616,26.1
and test set,616,26.1
the model parameters,615,26.1
of deep learning,615,26.1
of this study,615,26.1
differences in the,615,26.1
of the models,614,26.1
discussed in section,614,26.1
estimation of the,613,26.0
the asr model,613,26.0
the first two,612,26.0
the speech and,611,25.9
of an utterance,611,25.9
system based on,611,25.9
performs better than,610,25.9
has also been,610,25.9
and the results,608,25.8
