symbol,count,per_million_words,per_paper
paren (,141998,44985.3,98.95
colon :,18266,5786.7,12.73
percent %,7593,2405.5,5.29
semicolon ;,6616,2096.0,4.61
"double_quote """,5936,1880.5,4.14
en_dash –,1915,606.7,1.33
bullet •,1014,321.2,0.71
em_dash — (Index Terms除く),289,91.6,0.2
triple_hyphen ---,133,42.1,0.09
double_hyphen --,28,8.9,0.02
index_terms_template,4,1.3,0.0
