ngram,count,per_million
in this paper we,1099,436.0
search hub toc for,851,337.6
hub toc for this,851,337.6
toc for this manuscript,851,337.6
for this manuscript interspeech,793,314.6
this manuscript interspeech abstract,793,314.6
manuscript interspeech abstract cards,793,314.6
interspeech abstract cards page,774,307.1
abstract cards page view,393,155.9
cards page view manuscript,393,155.9
the performance of the,389,154.3
on the other hand,377,149.6
as well as the,290,115.0
in the case of,278,110.3
interspeech detailed author index,273,108.3
in this work we,266,105.5
is the number of,240,95.2
with respect to the,236,93.6
automatic speech recognition asr,232,92.0
copyright isca august florence,224,88.9
isca august florence italy,224,88.9
page mon-ses page mon-ses,222,88.1
page tue-ses page tue-ses,217,86.1
for each of the,200,79.3
can be used to,197,78.2
in the context of,191,75.8
is based on the,187,74.2
in this section we,187,74.2
the total number of,187,74.2
this paper we propose,179,71.0
mon-ses page mon-ses page,178,70.6
is organized as follows,177,70.2
results show that the,172,68.2
paper is organized as,172,68.2
tue-ses page tue-ses page,171,67.8
the results of the,169,67.0
page abstract this paper,161,63.9
page sun-ses page sun-ses,153,60.7
interspeech table of contents,149,59.1
table of contents page,149,59.1
it is possible to,147,58.3
the quality of the,144,57.1
the size of the,140,55.5
on the development set,138,54.7
page view manuscript tue-ses,135,53.6
in this study we,133,52.8
page view manuscript mon-ses,133,52.8
this paper we present,131,52.0
it can be seen,128,50.8
abstract cards page mon-ses,127,50.4
can be found in,127,50.4
abstract in this paper,125,49.6
show that the proposed,124,49.2
of the proposed method,124,49.2
are shown in table,124,49.2
the results show that,123,48.8
search interspeech detailed author,122,48.4
university of southern california,121,48.0
of the speech signal,121,48.0
sun-ses page sun-ses page,121,48.0
abstract cards page tue-ses,119,47.2
in the training data,118,46.8
the effectiveness of the,118,46.8
large vocabulary continuous speech,117,46.4
of this paper is,117,46.4
of southern california usa,113,44.8
page abstract in this,113,44.8
page view manuscript sun-ses,109,43.2
gaussian mixture model gmm,108,42.8
page wed-ses page wed-ses,108,42.8
in terms of the,107,42.4
of the number of,107,42.4
vocabulary continuous speech recognition,106,42.1
at the same time,106,42.1
the parameters of the,106,42.1
on the basis of,105,41.7
in the training set,104,41.3
as shown in figure,104,41.3
experimental results show that,103,40.9
and the number of,102,40.5
the end of the,101,40.1
performance of the proposed,100,39.7
the fact that the,100,39.7
word error rate wer,98,38.9
the length of the,97,38.5
is shown in figure,97,38.5
one of the most,95,37.7
the rest of the,95,37.7
