word,count,per_million
speech,20915,8297.4
data,8963,3555.8
speaker,7816,3100.8
features,7402,2936.5
system,7354,2917.5
recognition,6723,2667.1
training,6492,2575.5
set,6088,2415.2
acoustic,5144,2040.7
models,4873,1933.2
language,4846,1922.5
performance,4724,1874.1
feature,4587,1819.8
word,4579,1816.6
different,4490,1781.3
number,4282,1698.8
figure,4236,1680.5
noise,4186,1660.7
information,4071,1615.0
words,3949,1566.6
test,3769,1495.2
speakers,3620,1436.1
time,3601,1428.6
signal,3209,1273.1
analysis,3171,1258.0
page,3145,1247.7
systems,3095,1227.8
rate,2863,1135.8
error,2760,1094.9
experiments,2753,1092.2
corpus,2715,1077.1
task,2706,1073.5
algorithm,2687,1066.0
work,2679,1062.8
mon-ses,2675,1061.2
tue-ses,2671,1059.6
frequency,2644,1048.9
abstract,2610,1035.4
parameters,2598,1030.7
search,2498,991.0
voice,2443,969.2
university,2435,966.0
however,2426,962.4
order,2424,961.6
obtained,2423,961.3
utterances,2394,949.7
asr,2393,949.3
audio,2392,949.0
detection,2358,935.5
mean,2311,916.8
accuracy,2275,902.5
function,2266,899.0
english,2249,892.2
vector,2244,890.2
state,2226,883.1
spectral,2221,881.1
quality,2216,879.1
pitch,2177,863.7
automatic,2151,853.3
new,2131,845.4
target,2089,828.7
evaluation,2078,824.4
values,2069,820.8
while,2055,815.3
matrix,2045,811.3
study,2036,807.7
trained,2035,807.3
methods,1984,787.1
spoken,1975,783.5
level,1957,776.4
baseline,1938,768.8
phone,1936,768.0
terms,1916,760.1
duration,1903,755.0
adaptation,1900,753.8
frame,1896,752.2
sun-ses,1894,751.4
well,1888,749.0
average,1873,743.1
modeling,1860,737.9
prosodic,1845,731.9
processing,1829,725.6
utterance,1799,713.7
compared,1791,710.5
case,1757,697.0
high,1749,693.9
similar,1745,692.3
research,1720,682.4
manuscript,1719,682.0
large,1716,680.8
gaussian,1701,674.8
phoneme,1700,674.4
distribution,1690,670.5
user,1688,669.7
index,1685,668.5
standard,1683,667.7
learning,1678,665.7
better,1658,657.8
sentences,1656,657.0
input,1652,655.4
best,1649,654.2
since,1644,652.2
context,1639,650.2
sequence,1619,642.3
cation,1618,641.9
following,1617,641.5
interspeech,1593,632.0
space,1583,628.0
synthesis,1581,627.2
estimation,1567,621.7
linear,1561,619.3
hmm,1560,618.9
found,1555,616.9
database,1552,615.7
source,1550,614.9
estimated,1547,613.7
process,1524,604.6
single,1519,602.6
classification,1487,589.9
problem,1487,589.9
syllable,1484,588.7
conditions,1482,587.9
applied,1466,581.6
thus,1462,580.0
example,1461,579.6
score,1434,568.9
gmm,1431,567.7
segments,1420,563.3
described,1410,559.4
class,1407,558.2
presented,1406,557.8
distance,1402,556.2
corresponding,1401,555.8
scores,1396,553.8
probability,1395,553.4
value,1394,553.0
text,1391,551.8
selection,1390,551.4
total,1386,549.9
signals,1385,549.5
present,1380,547.5
languages,1379,547.1
measure,1374,545.1
vowel,1372,544.3
experiment,1367,542.3
output,1361,539.9
length,1357,538.3
classi,1356,538.0
clustering,1336,530.0
frames,1331,528.0
domain,1330,527.6
vectors,1324,525.3
human,1321,524.1
development,1321,524.1
further,1307,518.5
combination,1305,517.7
wed-ses,1302,516.5
phonetic,1298,514.9
possible,1297,514.5
without,1285,509.8
usa,1283,509.0
experimental,1281,508.2
techniques,1268,503.0
low,1258,499.1
because,1254,497.5
previous,1254,497.5
mfcc,1253,497.1
segment,1251,496.3
therefore,1251,496.3
dialogue,1248,495.1
mixture,1241,492.3
log,1236,490.3
out,1230,488.0
performed,1212,480.8
several,1204,477.6
listeners,1203,477.3
sets,1202,476.9
approaches,1201,476.5
result,1197,474.9
vocal,1194,473.7
framework,1191,472.5
likelihood,1188,471.3
estimate,1188,471.3
articulatory,1185,470.1
errors,1178,467.3
see,1174,465.7
multiple,1171,464.6
sentence,1167,463.0
maximum,1166,462.6
snr,1161,460.6
relative,1158,459.4
selected,1151,456.6
higher,1150,456.2
due,1146,454.6
size,1143,453.4
available,1140,452.3
pronunciation,1137,451.1
vowels,1133,449.5
improvement,1130,448.3
transcription,1127,447.1
sound,1122,445.1
effect,1118,443.5
within,1115,442.3
original,1105,438.4
structure,1104,438.0
view,1098,435.6
parameter,1096,434.8
condition,1092,433.2
august,1083,429.6
factor,1083,429.6
measures,1080,428.5
significant,1074,426.1
channel,1072,425.3
authors,1072,425.3
many,1066,422.9
representation,1064,422.1
types,1061,420.9
even,1058,419.7
components,1055,418.5
observed,1054,418.1
technique,1050,416.6
energy,1050,416.6
italy,1044,414.2
part,1036,411.0
robust,1031,409.0
samples,1030,408.6
four,1028,407.8
extraction,1024,406.2
type,1013,401.9
difference,1013,401.9
extracted,1011,401.1
step,1001,397.1
comparison,999,396.3
across,999,396.3
lower,998,395.9
range,997,395.5
perception,996,395.1
spectrum,995,394.7
improve,994,394.3
way,992,393.5
component,991,393.1
statistical,989,392.4
alignment,989,392.4
train,985,390.8
follows,984,390.4
classes,982,389.6
computed,969,384.4
provide,961,381.2
differences,955,378.9
units,954,378.5
calculated,951,377.3
segmentation,949,376.5
states,947,375.7
including,943,374.1
introduction,942,373.7
correlation,940,372.9
defined,938,372.1
tasks,937,371.7
noisy,937,371.7
conventional,934,370.5
important,933,370.1
various,931,369.3
according,929,368.6
decision,928,368.2
reference,924,366.6
reduction,918,364.2
less,917,363.8
group,917,363.8
overall,917,363.8
means,914,362.6
male,912,361.8
similarity,909,360.6
phrase,905,359.0
ratio,902,357.8
finally,898,356.3
variability,884,350.7
recorded,884,350.7
hub,881,349.5
vocabulary,880,349.1
wer,880,349.1
considered,879,348.7
subjects,877,347.9
small,875,347.1
clean,873,346.3
isca,872,345.9
speaking,863,342.4
sequences,863,342.4
female,862,342.0
cards,859,340.8
florence,857,340.0
short,856,339.6
point,856,339.6
toc,852,338.0
improved,851,337.6
copyright,850,337.2
tone,849,336.8
emotion,848,336.4
initial,847,336.0
interaction,844,334.8
syllables,842,334.0
applications,839,332.8
amount,839,332.8
rates,834,330.9
current,833,330.5
separation,830,329.3
phase,826,327.7
obtain,824,326.9
form,824,326.9
generated,823,326.5
procedure,820,325.3
evaluated,818,324.5
accent,817,324.1
svm,816,323.7
individual,814,322.9
phonemes,810,321.3
propose,810,321.3
like,804,319.0
perceptual,804,319.0
technology,801,317.8
natural,800,317.4
recordings,799,317.0
background,798,316.6
general,795,315.4
algorithms,793,314.6
resulting,793,314.6
whether,792,314.2
coefficients,792,314.2
addition,791,313.8
conversion,790,313.4
cepstral,790,313.4
prosody,789,313.0
stimuli,789,313.0
cluster,784,311.0
visual,783,310.6
threshold,781,309.8
particular,780,309.4
posterior,780,309.4
window,780,309.4
production,777,308.3
uses,777,308.3
automatically,776,307.9
covariance,775,307.5
classifier,774,307.1
focus,773,306.7
next,773,306.7
weights,771,305.9
application,770,305.5
unsupervised,769,305.1
prediction,768,304.7
optimal,764,303.1
often,760,301.5
consists,760,301.5
hidden,760,301.5
showed,760,301.5
objective,758,300.7
lexical,757,300.3
participants,757,300.3
japan,756,299.9
random,752,298.3
good,750,297.5
made,750,297.5
although,750,297.5
prior,749,297.1
final,745,295.6
filter,743,294.8
term,741,294.0
