file	keywords	title
ICASSP/2007/0200685.txt	turn-taking	REAL-TIME MONITORING OF PARTICIPANTS’ INTERACTION IN A MEETING USING
ICASSP/2007/0400009.txt	spoken dialog	SPOKEN LANGUAGE UNDERSTANDING STRATEGIES ON THE FRANCE TELECOM 3000
ICASSP/2007/0400013.txt	spoken dialog	DYNAMIC BAYESIAN NETWORKS AND DISCRIMINATIVE CLASSIFIERS
ICASSP/2007/0400133.txt	backchannel	DBN BASED JOINT DIALOGUE ACT RECOGNITION OF MULTIPARTY MEETINGS
ICASSP/2007/0400145.txt	spoken dialog	SPEECH-BASED INTERACTIVE INFORMATION GUIDANCE SYSTEM
ICASSP/2007/0400149.txt	spoken dialog	THE HIDDEN INFORMATION STATE APPROACH TO DIALOG MANAGEMENT
ICASSP/2007/0400153.txt	backchannel	CONFIDENCE MEASURES FOR SEMI-AUTOMATIC LABELING OF DIALOG ACTS
ICASSP/2007/0400157.txt	spoken dialog	INSIGHTS GAINED FROM DEVELOPMENT AND LONG-TERM OPERATION OF A
ICASSP/2007/0400165.txt	turn-taking,spoken dialog	LEARNING TO GROUND IN SPOKEN DIALOGUE SYSTEMS
ICASSP/2008/0002197.txt	turn-taking	ESTIMATING THE DOMINANT PERSON IN MULTI-PARTY CONVERSATIONS USING
ICASSP/2008/0004313.txt	spoken dialog	A TURBO-STYLE ALGORITHM FOR LEXICAL BASEFORMS ESTIMATION
ICASSP/2008/0004937.txt	spoken dialog	BAYESIAN UPDATE OF DIALOGUE STATE FOR ROBUST DIALOGUE SYSTEMS
ICASSP/2008/0004941.txt	backchannel	EXPLOITING DIALOGUE ACT TAGGING AND PROSODIC INFORMATION
ICASSP/2008/0004953.txt	spoken dialog	OPTIMIZING SPEECH RECOGNITION GRAMMARS USING A MEASURE OF SIMILARITY
ICASSP/2008/0004989.txt	spoken dialog	LEARNING WITH NOISY SUPERVISION FOR SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2008/0004993.txt	spoken dialog	EXTENSION OF HVS SEMANTIC PARSER BY ALLOWING LEFT-RIGHT BRANCHING
ICASSP/2008/0005001.txt	spoken dialog	IMPROVING SPOKEN LANGUAGE UNDERSTANDING
ICASSP/2008/0005021.txt	spoken dialog	ACCURATE STATISTICAL SPOKEN LANGUAGE UNDERSTANDING FROM LIMITED
ICASSP/2008/0005037.txt	spoken dialog	WHERE DO THE WORDS COME FROM?
ICASSP/2008/0005041.txt	spoken dialog	AN INSTANTANEOUS VECTOR REPRESENTATION OF DELTA PITCH FOR
ICASSP/2008/0005045.txt	spoken dialog	USING DIALOGUE ACTS TO LEARN BETTER REPAIR STRATEGIES FOR SPOKEN
ICASSP/2008/0005053.txt	backchannel	EXTRACTING QUESTION/ANSWER PAIRS IN MULTI-PARTY MEETINGS
ICASSP/2008/0005113.txt	spoken dialog	NAME-AWARE SPEECH RECOGNITION FOR INTERACTIVE QUESTION ANSWERING
ICASSP/2009/0001949.txt	backchannel	YOU ARE FIRED! NONVERBAL ROLE ANALYSIS IN COMPETITIVE MEETINGS
ICASSP/2009/0003681.txt	spoken dialog	SOURCE ADAPTIVE BLIND SIGNAL EXTRACTION USING CLOSED-FORM ICA FOR
ICASSP/2009/0003721.txt	backchannel	CO-ADAPTATION: ADAPTIVE CO-TRAINING FOR SEMI-SUPERVISED LEARNING
ICASSP/2009/0003941.txt	spoken dialog	VOICE SEARCH OF STRUCTURED MEDIA DATA
