structure,count
INTRODUCTION > METHOD > RESULTS > DISCUSSION,6
INTRODUCTION > METHOD > RESULTS,4
INTRODUCTION > METHODS > RESULTS,4
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODS > RESULTS > CONCLUSION,2
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > SITUATED KNOWLEDGE ACQUISITION STUDY > ACQUIRED SITUATED KNOWLEDGE BASE > USING KNOWLEDGE: QUERY EXPANSION,1
INTRODUCTION > THE PREVIOUS AUXILIARY VECTOR > THE PROPOSED CONJUGATE AUXILIARY > EXPERIMENTAL RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > EXPERIMENT 1: ENGLISH SENTENCES > EXPERIMENT 2: MANDARIN SENTENCES > GENERAL DISCUSSION,1
INTRODUCTION > MAXIMUM LIKELIHOOD LDA > SEQUENTIAL MAXIMUM MUTUAL > EXPERIMENTS,1
INTRODUCTION > METHOD > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > DEEP NEURAL NETWORKS IN ASR > BOUNDARY CONTRACTION TRAINING > EVALUATION > DISCUSSIONS > CONCLUSIONS,1
INTRODUCTION > SYSTEM DESCRIPTION > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > PROPOSED MODEL > EXPERIMENT,1
INTRODUTION > SUM-PRODUCT NETWORKS > SPN ARCHITECTURE,1
INTRODUCTION > AR-HMM PARAMETER ESTIMATION WITH > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > DESCRIPTION OF THE BENCHMARK DATA > BASELINE LANGUAGE MODELS > ADVANCED LANGUAGE MODELING > RESULTS,1
