symbol,count,per_million_words,per_paper
paren (,158978,46297.7,104.04
colon :,21596,6289.2,14.13
percent %,7471,2175.7,4.89
semicolon ;,6818,1985.5,4.46
"double_quote """,6077,1769.7,3.98
en_dash –,2421,705.0,1.58
bullet •,1109,323.0,0.73
em_dash — (Index Terms除く),369,107.5,0.24
triple_hyphen ---,60,17.5,0.04
double_hyphen --,54,15.7,0.04
index_terms_template,3,0.9,0.0
