structure,count
INTRODUCTION > THE PROPOSED METHOD > EXPERIMENTAL RESULTS > CONCLUSIONS,3
INTRODUCTION > PROPOSED APPROACH > EXPERIMENTAL RESULTS > CONCLUSIONS,2
INTRODUCTION > MATERIALS AND METHODS > RESULTS > CONCLUSION,2
INTRODUCTION > METHODS > RESULTS,2
INTRODUCTION > DESCRIPTION OF THE ENCODER > DESCRIPTION OF THE DECODER > SUMMARY OF ITU-T TEST RESULTS,1
INTRODUCTION > BWE TRANSMITTER > BWE RECEIVER > PERFORMANCE EVALUATION,1
INTRODUCTION > CONSTRAINED SEARCH OF THE EXCITATION > DESCRIPTION OF THE RESYNCHRONIZATION > EXPERIMENTAL RESULTS > CONCLUSION,1
INTRODUCTION > METHODS > EXPERIMENTAL RESULTS > CONCLUDING REMARKS,1
INTRODUCTION > CONTEXT-DEPENDENT DIGIT MODELING > DURATION-BIGRAM MODELS AND > ERROR-WEIGHTED DISCRIMINATIVE TRAINING > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > INTEGRATING PRIOR AND CONTEXTUAL > DECODING AND RECOGNITION > EXPERIMENTS AND RESULTS > CONCLUSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > HIDDEN SEMI MARKOV MODEL > CONTEXT DEPENDENT DURATION MODELING > WEIGHTED FINITE-STATE TRANSDUCERS FOR,1
INTRODUCTION > SURVEY OF DECISION RULES > OPTIMAL BAYES CLASSIFICATION > EXPERIMENTS > SUMMARY,1
INTRODUCTION > HUMAN-MACHINE DIALOG MODEL > USER MODEL > NLU MODEL,1
INTRODUCTION > DIALOG DESIGN FOR FLEXIBLE LEVEL OF > CONTROLLING CAPTURED DATA ACCURACY > EXPERIMENTAL EVALUATION > SUMMARY,1
"INTRODUCTION > SHORT REVIEW OF DIALOG ACTS > DIALOG ACT RECOGNITION FROM PROSODY, > EXPERIMENTS > CONCLUSIONS",1
INTRODUCTION > RULE BASED LANGUAGE MODELS > CLASS N-GRAM LANGUAGE MODELS > PERFORMANCE MEASUREMENT,1
INTRODUCTION > POSSDM: POSTECH SITUATION-BASED > EXAMPLE-BASED DIALOGUE MODELING > EXPERIMENTAL RESULTS > CONCLUSION AND DISCUSSION > ACKNOWLEDGEMENT,1
INTRODUCTION > SPEAKER ADAPTATION BASED ON HSMM > SPEAKER ADAPTATION USING BIAS VECTOR > SPEAKER ADAPTATION USING LINEAR REGRESSION > MAXIMUM A POSTERIORI MODIFICATION > EXPERIMENTS,1
INTRODUCTION > VOICE CONVERSION BASED ON LINEAR > TEXT-INDEPENDENT VOICE CONVERSION: > TEXT-INDEPENDENT VOICE CONVERSION > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > VOCAL TRACT MAPPING SYSTEM BASED ON > RESIDUAL SIGNAL CONVERSION > RESIDUAL SIGNAL PREDICTION > SIGNAL RECONSTRUCTION STRATEGY > EXPERIMENTS,1
INTRODUCTION > HMM-BASED SPEECH SYNTHEISIS SYSTEM > MINIMUM GENERATION ERROR TRAINING > EXPERIMENTS > CONCLUSION & FUTRUE WORK,1
INTRODUCTION > ACOUSTIC-ARTICULATORY SPEECH > CONVERSION SYSTEM OVERVIEW > TRAINING JOINT PROBABILITY > EXPERIMENT,1
INTRODUCTION > SUPPORT VECTOR MACHINES > GMM SUPERVECTORS > GMM SUPERVECTOR LINEAR KERNEL > SVM NAP AND LATENT FACTOR ANALYSIS > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > BASIC SETUP > COMPONENT SUBSYSTEMS > SYSTEM COMBINATION METHODS > RESULTS AND ANALYSIS,1
INTRODUCTION > NIST 2001 SPEAKER RECOGNITION CORPUS > PROBABILISTIC LATENT PROSODY ANALYSIS > EXPERIMENTS AND SYSTEM FUSION > CONCLUSIONS > ACKNOWLEDGEMENT,1
INTRODUCTION > SECONDARY CLASSIFICATION > SPLINE BASED MODELS > GMM SYSTEM DESCRIPTION > RESULTS > CONCLUSIONS,1
INTRODUCTION > JOINT FACTOR ANALYSIS > SPEAKER VERIFICATION > EXPERIMENTS,1
INTRODUCTION > FEATURE SPACE GAUSSIANIZATION > KURTOSIS NORMALIZATION BASED ON > EXPERIMENTS AND RESULTS,1
INTRODUCTION > POLYPHONE MODELING > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > AUGMENTED STATISTICAL MODELS > CONDITIONAL AUGMENTED MODELS > EXPERIMENTAL RESULTS > CONCLUSIONS,1
INTRODUCTION > GENERALIZED CHARACTER POSTERIOR > GCPP-BASED RESCORING > EXPERIMENTS AND RESULTS > CONCLUSIONS,1
INTRODUCTION > EFFECT OF NON-NATIVE SPEECH > ACOUSTIC MODEL ADAPTATION FOR NONNATIVE SPEECH RECOGNITION > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > DISCRIMINATIVE ALGORITHMS > EXPERIMENTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > SPECTRAL SUBTRACTION > FUNDAMENTAL LIMITATIONS > EXPERIMENTAL SETUP > EXPERIMENTAL RESULTS,1
INTRODUCTION > NEW FORWARD MASKING MODEL > SPEECH ENHANCEMENT > PERFORMANCE EVALUATION > CONCLUSIONS,1
INTRODUCTION > NOIZEUS: A NOISY SPEECH CORPUS FOR > ALGORITHMS EVALUATED,1
INTRODUCTION > SIGNAL MODEL > BAYESIAN SPEECH ESTIMATION > PARAMETER ESTIMATION > EXPERIMENTS AND RESULTS > CONCLUSIONS,1
INTRODUCTION > ANALYSIS OF NOISE SOURCES > ENGINE NOISE REDUCTION > TYRE AND AIRFLOW NOISE REDUCTION > RESULTS > CONCLUSION,1
INTRODUCTION > THE COMPENSATION METHOD > THE ACOUSTIC MODELING TECHNIQUE > EXPERIMENTAL RESULTS > CONCLUSIONS,1
INTRODUCTION > ALGORITHM DESCRIPTIONS > FRAME RATE REDUCTION AND FEATURE > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > BASELINE SPHINX-II SYSTEM > PLATFORM OPTIMIZATIONS > ALGORITHMIC OPTIMIZATIONS > EXPERIMENTAL RESULTS,1
INTRODUCTION > PRE-PROCESSING PROCEDURE > MODEL DESCRIPTION > EXPERIMENTS > DISCUSSION,1
INTRODUCTION > SYSTEM DESCRIPTION > DATA AND BASELINE RESULTS > PHONEME LATTICES > ANTI-MODELS > CONCLUSIONS,1
INTRODUCTION > FRONT-END TECHNIQUES > PROPOSED LANGUAGE IDENTIFICATION,1
INTRODUCTION > DEVELOPMENT AND EVALUATION DATA > SYSTEM DESCRIPTION > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > FEATURES > ACOUSTIC MODELING > EXPERIMENTAL DATA,1
INTRODUCTION > ADAPTATION USING BAYESIAN INFERENCE > INCREMENTAL BAYESIAN ADAPTATION > EXPERIMENTAL RESULTS > CONCLUSION,1
INTRODUCTION > A4 A3 > PARAMETER ESTIMATION > EXPERIMENTAL SETUP AND RESULTS,1
INTRODUCTION > KERNEL RIDGE REGRESSION > EXPERIMENTS AND RESULTS,1
INTRODUCTION > REFERENCE SPEAKER WEIGHTING (RSW) > REFERENCE SPEAKERS SELECTION > EXPERIMENTAL EVALUATION,1
INTRODUCTION > POLYNOMIAL SEGMENT MODEL > PSM-BASED RSW ADAPTATION > EXPERIMENTS,1
"INTRODUCTION > ACCURACY, REGULARIZATION, MLPS, & SVMS > REGULARIZED ADAPTATION > APPLICATION: THE VOCAL JOYSTICK > EXPERIMENTS > CONCLUSION",1
