word,count,per_million
performance,35183,3296.6
models,29786,2790.9
while,28923,2710.1
training,27537,2580.2
data,27512,2577.8
methods,26777,2509.0
features,25233,2364.3
feature,22133,2073.8
learning,21847,2047.0
across,21368,2002.2
dataset,20058,1879.4
loss,19701,1846.0
framework,18535,1736.7
speech,17667,1655.4
image,17516,1641.2
information,17274,1618.6
accuracy,16702,1565.0
set,16687,1563.6
datasets,16082,1506.9
experiments,14552,1363.5
audio,14287,1338.7
input,13740,1287.4
module,13655,1279.5
different,13647,1278.7
noise,13603,1274.6
attention,13520,1266.8
time,13335,1249.5
work,12792,1198.6
semantic,12125,1136.1
propose,11945,1119.2
network,11825,1108.0
encoder,11412,1069.3
evaluation,11332,1061.8
text,11215,1050.8
detection,11096,1039.7
fusion,11002,1030.9
achieves,10776,1009.7
temporal,10610,994.1
number,10421,976.4
target,10294,964.5
task,10224,958.0
however,10201,955.8
tasks,10091,945.5
process,10030,939.8
images,9848,922.7
global,9809,919.1
samples,9723,911.0
spatial,9650,904.2
quality,9635,902.8
parameters,9607,900.2
signal,9565,896.2
layer,9489,889.1
representation,9316,872.9
function,9286,870.1
generation,9259,867.6
further,9057,848.6
visual,9041,847.1
representations,9003,843.6
baseline,8927,836.5
local,8804,824.9
comparison,8785,823.1
analysis,8751,820.0
without,8546,800.8
design,8535,799.7
alignment,8498,796.3
metrics,8486,795.1
graph,8460,792.7
rate,8445,791.3
matrix,8426,789.5
size,8303,778.0
ablation,8289,776.7
distribution,8212,769.5
prediction,8144,763.1
existing,8093,758.3
knowledge,7995,749.1
denotes,7988,748.5
score,7961,745.9
modeling,7932,743.2
strategy,7923,742.4
trained,7908,741.0
test,7905,740.7
overall,7853,735.8
output,7836,734.2
key,7835,734.1
compared,7810,731.8
address,7791,730.0
space,7788,729.7
corresponding,7755,726.6
classification,7739,725.1
approaches,7722,723.5
architecture,7714,722.8
study,7609,713.0
terms,7518,704.4
domain,7498,702.6
average,7468,699.7
embedding,7401,693.5
robustness,7382,691.7
inference,7380,691.5
optimization,7356,689.3
introduce,7279,682.0
evaluate,7220,676.5
within,7159,670.8
large,7134,668.4
capture,7128,667.9
signals,7126,667.7
often,7120,667.1
demonstrate,7086,664.0
language,7084,663.8
prior,6992,655.1
mechanism,6990,655.0
effectiveness,6964,652.5
original,6954,651.6
multiple,6860,642.8
best,6850,641.8
similarity,6814,638.5
dynamic,6787,635.9
embeddings,6755,632.9
reasoning,6731,630.7
system,6713,629.0
error,6702,628.0
channel,6698,627.6
linear,6690,626.8
problem,6663,624.3
effectively,6610,619.4
algorithm,6582,616.7
complex,6555,614.2
components,6553,614.0
diffusion,6536,612.4
high,6527,611.6
reconstruction,6527,611.6
layers,6524,611.3
baselines,6522,611.1
final,6503,609.3
following,6501,609.1
frequency,6492,608.3
tokens,6473,606.5
ours,6370,596.9
efficiency,6359,595.8
vector,6296,589.9
index,6291,589.5
structure,6244,585.1
mean,6233,584.0
stage,6229,583.7
standard,6227,583.5
consistency,6206,581.5
experimental,6191,580.1
robust,6188,579.8
map,6153,576.5
figure,6065,568.3
estimation,6022,564.3
speaker,6018,563.9
adaptive,6003,562.5
systems,5995,561.7
generated,5992,561.4
due,5966,559.0
neural,5954,557.9
specifically,5936,556.2
single,5919,554.6
follows,5899,552.7
source,5894,552.3
objective,5856,548.7
computational,5817,545.0
effective,5813,544.7
multimodal,5781,541.7
significantly,5776,541.2
sample,5771,540.7
prompt,5725,536.4
weights,5714,535.4
strong,5694,533.5
class,5694,533.5
generate,5663,530.6
sequence,5637,528.2
ieee,5635,528.0
video,5593,524.1
llm,5581,522.9
novel,5529,518.1
including,5508,516.1
parameter,5501,515.4
segmentation,5500,515.3
gaussian,5479,513.4
step,5464,512.0
better,5455,511.1
scenarios,5436,509.3
context,5397,505.7
research,5373,503.4
transformer,5351,501.4
token,5312,497.7
significant,5303,496.9
state-of-the-art,5278,494.5
details,5265,493.3
enabling,5265,493.3
log,5263,493.1
defined,5251,492.0
icassp,5232,490.2
generalization,5223,489.4
decoder,5215,488.6
scores,5211,488.3
values,5210,488.2
conditions,5186,485.9
block,5117,479.5
sampling,5101,478.0
latent,5099,477.8
enhance,5098,477.7
deep,5089,476.8
new,5044,472.6
processing,5043,472.5
higher,5041,472.3
abstract,4999,468.4
point,4983,466.9
outperforms,4954,464.2
regions,4928,461.7
provides,4926,461.6
improves,4919,460.9
directly,4846,454.1
weight,4843,453.8
represents,4826,452.2
applied,4820,451.6
introduction,4810,450.7
state,4790,448.8
recognition,4773,447.2
diverse,4738,443.9
recent,4708,441.1
fine-tuning,4707,441.0
limited,4697,440.1
extraction,4687,439.2
networks,4684,438.9
settings,4665,437.1
acoustic,4645,435.2
value,4637,434.5
efficient,4612,432.1
improve,4608,431.8
natural,4582,429.3
asr,4578,429.0
structural,4554,426.7
consistently,4528,424.3
content,4527,424.2
thereby,4520,423.5
random,4516,423.1
fixed,4495,421.2
consistent,4494,421.1
llms,4467,418.6
studies,4450,417.0
patterns,4444,416.4
four,4411,413.3
memory,4329,405.6
gradient,4318,404.6
cost,4304,403.3
full,4281,401.1
query,4257,398.9
benchmark,4242,397.5
phase,4240,397.3
finally,4231,396.4
critical,4228,396.2
small,4222,395.6
contrast,4204,393.9
achieve,4186,392.2
selection,4183,391.9
lower,4168,390.5
steps,4158,389.6
human,4142,388.1
control,4134,387.4
foundation,4132,387.2
against,4122,386.2
obtain,4120,386.0
main,4118,385.9
challenge,4082,382.5
total,4074,381.7
labels,4074,381.7
conclusion,4072,381.5
designed,4041,378.6
contributions,4039,378.5
contrastive,4033,377.9
challenges,4020,376.7
user,4016,376.3
label,4004,375.2
outputs,3975,372.5
since,3945,369.6
strategies,3927,368.0
spectral,3910,366.4
distance,3909,366.3
complexity,3909,366.3
remains,3904,365.8
enables,3893,364.8
adaptation,3886,364.1
superior,3855,361.2
denote,3853,361.0
real,3843,360.1
fine-grained,3839,359.7
resulting,3834,359.2
adversarial,3828,358.7
provide,3820,357.9
retrieval,3801,356.2
like,3800,356.1
uses,3797,355.8
obtained,3793,355.4
current,3792,355.3
real-world,3789,355.0
enhancement,3787,354.8
