symbol,count,per_million_words,per_paper
paren (,145952,41845.0,106.69
colon :,20872,5984.1,15.26
percent %,7559,2167.2,5.53
semicolon ;,5438,1559.1,3.98
"double_quote """,4930,1413.5,3.6
en_dash –,3692,1058.5,2.7
index_terms_template,1229,352.4,0.9
bullet •,888,254.6,0.65
em_dash — (Index Terms除く),493,141.3,0.36
double_hyphen --,25,7.2,0.02
triple_hyphen ---,8,2.3,0.01
