symbol,count,per_million_words,per_paper
paren (,230953,31990.9,79.86
colon :,48366,6699.5,16.72
percent %,24616,3409.7,8.51
"double_quote """,9239,1279.8,3.19
semicolon ;,9127,1264.2,3.16
en_dash –,4568,632.7,1.58
bullet •,2984,413.3,1.03
index_terms_template,2784,385.6,0.96
em_dash — (Index Terms除く),753,104.3,0.26
double_hyphen --,94,13.0,0.03
triple_hyphen ---,86,11.9,0.03
