symbol,count,per_million_words,per_paper
paren (,56064,25756.6,74.45
colon :,16917,7771.9,22.47
percent %,8740,4015.3,11.61
"double_quote """,5178,2378.8,6.88
semicolon ;,4536,2083.9,6.02
en_dash –,3024,1389.3,4.02
bullet •,944,433.7,1.25
em_dash — (Index Terms除く),394,181.0,0.52
triple_hyphen ---,38,17.5,0.05
double_hyphen --,31,14.2,0.04
index_terms_template,7,3.2,0.01
