word,count,per_million
speech,18420,8462.4
system,7341,3372.6
data,6968,3201.2
recognition,6460,2967.8
speaker,5493,2523.6
training,5050,2320.0
word,4985,2290.2
features,4887,2245.2
language,4663,2142.2
set,4451,2044.9
models,4382,2013.2
information,4279,1965.8
acoustic,4061,1865.7
words,4028,1850.5
performance,3984,1830.3
figure,3963,1820.7
number,3624,1664.9
different,3623,1664.5
feature,3522,1618.1
noise,3490,1603.4
test,2990,1373.6
signal,2957,1358.5
time,2933,1347.5
page,2794,1283.6
systems,2760,1268.0
algorithm,2721,1250.1
speakers,2648,1216.5
rate,2592,1190.8
corpus,2558,1175.2
frequency,2533,1163.7
error,2512,1154.0
experiments,2465,1132.5
analysis,2452,1126.5
pitch,2387,1096.6
parameters,2334,1072.3
university,2310,1061.2
adaptation,2289,1051.6
order,2262,1039.2
obtained,2223,1021.3
search,2204,1012.5
however,2155,990.0
asr,2099,964.3
evaluation,2080,955.6
function,2080,955.6
vector,2032,933.5
voice,2015,925.7
task,1944,893.1
target,1933,888.0
duration,1925,884.4
automatic,1924,883.9
utterances,1919,881.6
new,1894,870.1
methods,1819,835.7
mean,1816,834.3
database,1806,829.7
accuracy,1801,827.4
frame,1778,816.8
english,1766,811.3
work,1758,807.6
state,1732,795.7
detection,1730,794.8
cation,1692,777.3
values,1683,773.2
syllable,1677,770.4
utterance,1674,769.1
spoken,1670,767.2
user,1656,760.8
vowel,1656,760.8
input,1642,754.4
while,1641,753.9
terms,1639,753.0
case,1639,753.0
level,1607,738.3
high,1602,736.0
well,1577,724.5
spectral,1571,721.7
probability,1570,721.3
abstract,1568,720.4
estimation,1565,719.0
sentence,1559,716.2
study,1553,713.5
found,1538,706.6
best,1527,701.5
sentences,1527,701.5
hmm,1525,700.6
manuscript,1521,698.8
context,1508,692.8
since,1480,679.9
score,1456,668.9
research,1455,668.4
sequence,1454,668.0
baseline,1452,667.1
large,1446,664.3
segmentation,1436,659.7
trained,1433,658.3
processing,1422,653.3
phone,1422,653.3
value,1422,653.3
better,1417,651.0
average,1417,651.0
audio,1409,647.3
example,1409,647.3
following,1407,646.4
prosodic,1402,644.1
experiment,1399,642.7
process,1392,639.5
compared,1387,637.2
interspeech,1381,634.5
quality,1379,633.5
gaussian,1359,624.3
because,1355,622.5
phoneme,1349,619.7
