phrase,count,per_million
in this paper,1870,692.0
in this work,708,262.0
state-of-the-art,547,202.42
on the other hand,337,124.71
not only,287,106.2
but also,263,97.32
a variety of,191,70.68
experimental results show,172,63.65
in other words,105,38.86
in recent years,102,37.75
a wide range of,76,28.12
due to the fact that,64,23.68
it should be noted,57,21.09
to the best of our knowledge,51,18.87
the rest of this paper,47,17.39
plays an important role,42,15.54
it is worth noting,34,12.58
experimental results demonstrate,34,12.58
remainder of this paper,33,12.21
more and more,30,11.1
it is important to note,23,8.51
a plethora of,10,3.7
plays a crucial role,8,2.96
plays a vital role,2,0.74
has garnered,2,0.74
rapidly evolving,2,0.74
sheds light on,1,0.37
myriad,1,0.37
in the realm of,0,0.0
paving the way,0,0.0
ever-evolving,0,0.0
