word,count,per_million
signal,9060,2863.3
speech,8511,2689.8
data,8493,2684.1
algorithm,7780,2458.7
noise,7480,2363.9
matrix,7251,2291.6
performance,7052,2228.7
set,6790,2145.9
number,6625,2093.7
time,5900,1864.6
system,5549,1753.7
problem,5527,1746.7
different,5427,1715.1
features,5383,1701.2
training,5264,1663.6
function,5091,1608.9
vector,4639,1466.1
estimation,4396,1389.3
image,4390,1387.4
signals,4374,1382.3
feature,4100,1295.7
frequency,4056,1281.8
information,3976,1256.5
error,3873,1224.0
source,3816,1206.0
parameters,3667,1158.9
methods,3635,1148.8
work,3509,1109.0
order,3382,1068.8
obtained,3306,1044.8
however,3306,1044.8
models,3235,1022.4
case,3192,1008.8
input,3168,1001.2
rate,3159,998.3
filter,3098,979.1
while,3086,975.3
network,3057,966.1
target,3013,952.2
following,2957,934.5
linear,2953,933.2
detection,2910,919.7
acoustic,2906,918.4
speaker,2865,905.4
estimate,2834,895.6
test,2815,889.6
terms,2809,887.7
since,2805,886.5
output,2730,862.8
values,2719,859.3
analysis,2702,853.9
distribution,2696,852.0
gaussian,2653,838.4
value,2604,822.9
figure,2569,811.9
channel,2553,806.8
systems,2482,784.4
mean,2466,779.3
snr,2465,779.0
size,2453,775.2
frame,2417,763.9
layer,2409,761.3
samples,2390,755.3
probability,2365,747.4
parameter,2352,743.3
recognition,2350,742.7
power,2345,741.1
audio,2343,740.5
estimated,2339,739.2
algorithms,2313,731.0
index,2313,731.0
sparse,2300,726.9
state,2299,726.6
corresponding,2284,721.8
processing,2275,719.0
due,2272,718.0
thus,2271,717.7
new,2237,707.0
learning,2231,705.1
space,2218,701.0
experiments,2217,700.6
defined,2204,696.5
dnn,2186,690.8
spectral,2173,686.7
step,2142,676.9
compared,2131,673.5
vectors,2128,672.5
similar,2121,670.3
array,2113,667.8
high,2108,666.2
optimal,2108,666.2
let,2085,658.9
better,2084,658.6
accuracy,2079,657.0
consider,2079,657.0
large,2072,654.8
images,2062,651.7
average,2058,650.4
process,2049,647.6
well,2048,647.2
note,2033,642.5
random,2030,641.5
follows,1994,630.2
therefore,1981,626.1
solution,1970,622.6
example,1932,610.6
representation,1921,607.1
phase,1919,606.5
covariance,1918,606.2
classification,1917,605.8
result,1914,604.9
optimization,1881,594.5
log,1848,584.0
single,1844,582.8
structure,1836,580.2
sampling,1825,576.8
see,1820,575.2
matrices,1813,573.0
low,1786,564.4
applied,1779,562.2
standard,1778,561.9
sequence,1773,560.3
word,1773,560.3
domain,1758,555.6
energy,1754,554.3
point,1750,553.1
further,1739,549.6
range,1719,543.3
best,1714,541.7
small,1711,540.7
ieee,1703,538.2
distance,1703,538.2
sources,1695,535.7
scheme,1664,525.9
frames,1664,525.9
quality,1663,525.6
trained,1657,523.7
propose,1654,522.7
local,1653,522.4
multiple,1651,521.8
components,1648,520.8
form,1631,515.4
sound,1628,514.5
cost,1622,512.6
obtain,1613,509.8
coefficients,1610,508.8
total,1609,508.5
sensor,1601,506.0
hidden,1601,506.0
spatial,1597,504.7
graph,1593,503.4
without,1591,502.8
level,1587,501.5
presented,1584,500.6
denotes,1575,497.8
networks,1575,497.8
dictionary,1572,496.8
conditions,1570,496.2
original,1564,494.3
min,1555,491.4
framework,1524,481.6
because,1519,480.1
node,1517,479.4
known,1509,476.9
spectrum,1506,475.9
evaluation,1506,475.9
task,1505,475.6
length,1504,475.3
considered,1497,473.1
microphone,1492,471.5
possible,1490,470.9
approaches,1469,464.3
computed,1453,459.2
observed,1450,458.2
many,1449,457.9
maximum,1438,454.5
techniques,1428,451.3
previous,1428,451.3
complexity,1421,449.1
noisy,1410,445.6
reference,1405,444.0
within,1399,442.1
lower,1399,442.1
component,1395,440.9
nodes,1395,440.9
present,1382,436.8
experimental,1379,435.8
described,1373,433.9
higher,1371,433.3
prior,1366,431.7
assume,1364,431.1
measurements,1364,431.1
context,1364,431.1
coding,1361,430.1
language,1360,429.8
design,1357,428.9
baseline,1354,427.9
weights,1353,427.6
fixed,1352,427.3
max,1337,422.5
generated,1328,419.7
several,1322,417.8
dataset,1316,415.9
neural,1307,413.1
distributed,1305,412.4
separation,1304,412.1
complex,1300,410.8
sample,1299,410.5
variance,1291,408.0
icassp,1290,407.7
music,1289,407.4
transform,1285,406.1
introduction,1283,405.5
denote,1283,405.5
independent,1281,404.8
functions,1281,404.8
found,1281,404.8
robust,1276,403.3
comparison,1265,399.8
objective,1263,399.1
research,1254,396.3
words,1252,395.7
real,1249,394.7
search,1247,394.1
performed,1246,393.8
ratio,1244,393.1
class,1239,391.6
abstract,1238,391.2
user,1238,391.2
part,1230,388.7
available,1229,388.4
finally,1224,386.8
block,1222,386.2
even,1217,384.6
applications,1204,380.5
kernel,1197,378.3
adaptive,1189,375.8
technique,1188,375.4
adaptation,1188,375.4
estimates,1186,374.8
reconstruction,1184,374.2
according,1182,373.6
selected,1163,367.5
relative,1162,367.2
selection,1161,366.9
general,1159,366.3
term,1154,364.7
difference,1151,363.8
true,1150,363.4
gain,1142,360.9
computational,1140,360.3
field,1140,360.3
estimator,1139,360.0
hence,1132,357.7
points,1125,355.5
particular,1122,354.6
provide,1121,354.3
zero,1120,354.0
reduction,1120,354.0
clustering,1119,353.6
compute,1108,350.2
layers,1106,349.5
study,1104,348.9
mixture,1104,348.9
much,1102,348.3
voice,1097,346.7
norm,1095,346.1
threshold,1095,346.1
map,1086,343.2
improvement,1083,342.3
approximation,1078,340.7
minimum,1077,340.4
filtering,1075,339.7
conventional,1075,339.7
find,1067,337.2
sets,1067,337.2
correlation,1064,336.3
prediction,1062,335.6
likelihood,1058,334.4
various,1054,333.1
speakers,1053,332.8
modeling,1052,332.5
measure,1052,332.5
next,1050,331.8
window,1048,331.2
improve,1045,330.3
significant,1040,328.7
pitch,1040,328.7
observation,1037,327.7
position,1037,327.7
measurement,1037,327.7
less,1036,327.4
filters,1036,327.4
sensors,1033,326.5
resulting,1025,323.9
observations,1025,323.9
background,1024,323.6
basis,1024,323.6
effect,1019,322.0
theorem,1012,319.8
normalized,1011,319.5
equation,1010,319.2
interference,1009,318.9
variables,1008,318.6
update,1003,317.0
out,1001,316.3
procedure,1001,316.3
clean,1001,316.3
weight,999,315.7
constraint,998,315.4
derived,996,314.8
assumed,994,314.1
elements,989,312.6
factor,986,311.6
joint,983,310.7
simulation,980,309.7
condition,979,309.4
constant,978,309.1
asr,976,308.4
deep,974,307.8
direction,972,307.2
achieved,972,307.2
good,969,306.2
seen,969,306.2
experiment,965,305.0
equal,964,304.7
current,962,304.0
hmm,961,303.7
significantly,959,303.1
sparsity,959,303.1
way,954,301.5
addition,952,300.9
posterior,951,300.5
perform,949,299.9
dimensional,942,297.7
initial,942,297.7
channels,941,297.4
across,937,296.1
combination,936,295.8
important,933,294.9
response,932,294.5
received,932,294.5
database,929,293.6
gradient,928,293.3
required,927,293.0
errors,924,292.0
temporal,923,291.7
convergence,923,291.7
respect,922,291.4
simple,920,290.7
cases,920,290.7
means,917,289.8
stage,914,288.9
left,914,288.9
define,913,288.5
need,912,288.2
uses,911,287.9
doa,910,287.6
variable,910,287.6
achieve,909,287.3
additional,906,286.3
introduced,906,286.3
directly,900,284.4
subspace,900,284.4
reduce,899,284.1
utterances,898,283.8
related,897,283.5
iteration,897,283.5
region,894,282.5
segments,894,282.5
least,893,282.2
sum,892,281.9
every,890,281.3
desired,888,280.6
assumption,887,280.3
larger,887,280.3
computation,885,279.7
change,885,279.7
knowledge,882,278.7
common,881,278.4
represent,881,278.4
location,877,277.2
main,876,276.8
constraints,874,276.2
video,874,276.2
dimension,874,276.2
line,871,275.3
recovery,871,275.3
positive,868,274.3
contains,868,274.3
provides,867,274.0
unknown,867,274.0
instead,866,273.7
represents,864,273.1
denoted,863,272.7
density,863,272.7
segment,861,272.1
final,858,271.2
problems,856,270.5
associated,855,270.2
consists,854,269.9
localization,853,269.6
extracted,850,268.6
sensing,850,268.6
chosen,847,267.7
synthesis,847,267.7
implementation,845,267.0
gmm,845,267.0
moreover,844,266.7
states,844,266.7
global,843,266.4
path,840,265.5
score,838,264.8
including,836,264.2
khz,832,262.9
mse,832,262.9
although,831,262.6
end,830,262.3
visual,829,262.0
extraction,827,261.4
magnitude,826,261.0
binary,826,261.0
receiver,825,260.7
pixel,824,260.4
right,822,259.8
rank,822,259.8
strategy,821,259.5
calculated,820,259.1
beamforming,819,258.8
fact,817,258.2
future,817,258.2
full,817,258.2
tracking,816,257.9
scale,813,256.9
bits,812,256.6
still,811,256.3
decomposition,807,255.0
corpus,803,253.8
loss,802,253.5
unit,801,253.1
often,800,252.8
microphones,797,251.9
allows,790,249.7
efficient,790,249.7
overall,790,249.7
numerical,789,249.3
effective,788,249.0
requires,787,248.7
another,787,248.7
units,787,248.7
cos,784,247.8
scenario,784,247.8
compare,783,247.5
evaluate,782,247.1
pixels,782,247.1
recently,776,245.2
novel,773,244.3
bit,772,244.0
resolution,771,243.7
evaluated,771,243.7
exp,771,243.7
utterance,771,243.7
fourier,770,243.3
positions,770,243.3
four,770,243.3
diagonal,770,243.3
weighted,768,242.7
reduced,768,242.7
users,767,242.4
provided,766,242.1
furthermore,766,242.1
bound,766,242.1
steps,760,240.2
dynamic,760,240.2
statistical,759,239.9
expected,757,239.2
regions,756,238.9
communication,756,238.9
patterns,752,237.7
times,749,236.7
motion,748,236.4
criterion,745,235.4
frequencies,745,235.4
solve,742,234.5
view,742,234.5
types,742,234.5
distortion,741,234.2
wer,741,234.2
represented,739,233.5
like,735,232.3
improved,734,232.0
room,734,232.0
control,734,232.0
simulations,733,231.7
along,733,231.7
enhancement,733,231.7
limited,733,231.7
individual,731,231.0
supported,729,230.4
similarity,729,230.4
