phrase,count,per_million
in this paper,2493,782.15
in this work,600,188.24
on the other hand,520,163.14
state-of-the-art,351,110.12
not only,303,95.06
but also,283,88.79
in other words,278,87.22
a variety of,185,58.04
experimental results show,177,55.53
a wide range of,111,34.83
in recent years,108,33.88
the rest of this paper,100,31.37
due to the fact that,97,30.43
it should be noted,87,27.3
remainder of this paper,65,20.39
to the best of our knowledge,52,16.31
plays an important role,51,16.0
experimental results demonstrate,49,15.37
more and more,42,13.18
it is worth noting,30,9.41
it is important to note,26,8.16
plays a crucial role,4,1.25
myriad,3,0.94
in the realm of,2,0.63
a plethora of,2,0.63
paving the way,1,0.31
sheds light on,1,0.31
plays a vital role,0,0.0
has garnered,0,0.0
ever-evolving,0,0.0
rapidly evolving,0,0.0
