word,count,per_million
type,707,315.0
sample,705,314.1
decoding,704,313.6
response,704,313.6
pronunciation,703,313.2
short,701,312.3
amount,700,311.8
joint,699,311.4
directly,698,311.0
energy,697,310.5
hence,696,310.1
female,695,309.6
provided,694,309.2
followed,693,308.7
characteristics,693,308.7
generate,691,307.8
intelligibility,690,307.4
negative,680,302.9
reference,677,301.6
native,675,300.7
measures,675,300.7
validation,673,299.8
ratio,672,299.4
instead,670,298.5
magnitude,669,298.0
similarity,669,298.0
mixture,669,298.0
still,667,297.1
learned,667,297.1
additional,666,296.7
make,664,295.8
applications,664,295.8
every,664,295.8
form,663,295.4
machine,662,294.9
gmm,661,294.5
setup,660,294.0
although,659,293.6
separation,659,293.6
improved,659,293.6
conversion,650,289.6
emotional,647,288.2
articulatory,643,286.5
end,641,285.6
either,641,285.6
next,641,285.6
softmax,640,285.1
knowledge,639,284.7
channel,636,283.3
sequences,635,282.9
fixed,632,281.6
outputs,632,281.6
seen,631,281.1
control,630,280.7
effects,627,279.3
variance,626,278.9
predicted,625,278.4
filters,625,278.4
technique,623,277.5
mask,622,277.1
find,621,276.7
reduction,619,275.8
statistical,617,274.9
combined,615,274.0
dev,615,274.0
able,614,273.5
common,614,273.5
i-vectors,614,273.5
recent,613,273.1
need,612,272.6
good,611,272.2
larger,610,271.8
corpora,608,270.9
main,606,270.0
robust,606,270.0
verification,605,269.5
made,604,269.1
component,604,269.1
showed,603,268.6
achieve,600,267.3
often,600,267.3
eer,599,266.9
positive,598,266.4
max,597,266.0
means,595,265.1
resulting,593,264.2
provides,593,264.2
mandarin,592,263.7
transform,588,262.0
represents,588,262.0
initial,586,261.1
last,585,260.6
expected,583,259.7
background,581,258.8
whether,579,257.9
states,579,257.9
examples,578,257.5
extract,577,257.1
selection,574,255.7
normalized,573,255.3
clustering,572,254.8
khz,571,254.4
term,570,253.9
variation,570,253.9
according,569,253.5
produced,568,253.0
improvements,568,253.0
procedure,567,252.6
algorithms,567,252.6
cost,567,252.6
sources,567,252.6
represent,566,252.2
waveform,566,252.2
along,564,251.3
fully,564,251.3
block,562,250.4
reduce,562,250.4
effective,560,249.5
predict,559,249.0
developed,557,248.1
conducted,557,248.1
focus,554,246.8
alignment,554,246.8
sounds,553,246.4
cases,552,245.9
perceptual,550,245.0
transcription,549,244.6
microphone,549,244.6
investigate,547,243.7
capture,547,243.7
limited,546,243.2
sampling,546,243.2
recently,545,242.8
stage,545,242.8
listeners,543,241.9
search,542,241.5
segmentation,542,241.5
