word,count,per_million
data,12523,2864.1
signal,11823,2704.0
algorithm,11191,2559.5
set,10113,2312.9
speech,9770,2234.5
performance,9620,2200.2
number,9174,2098.2
noise,8800,2012.6
matrix,8461,1935.1
time,8448,1932.1
system,8273,1892.1
problem,8216,1879.1
different,7614,1741.4
features,7427,1698.6
function,7148,1634.8
training,7132,1631.1
image,6378,1458.7
vector,6215,1421.4
error,5836,1334.7
information,5817,1330.4
frequency,5577,1275.5
estimation,5434,1242.8
channel,5386,1231.8
feature,5283,1208.3
work,5230,1196.1
signals,4988,1140.8
case,4954,1133.0
rate,4894,1119.3
order,4892,1118.8
methods,4762,1089.1
obtained,4688,1072.2
parameters,4654,1064.4
however,4583,1048.2
filter,4581,1047.7
detection,4383,1002.4
while,4310,985.7
network,4273,977.3
since,4254,972.9
power,4166,952.8
following,3997,914.1
terms,3995,913.7
gaussian,3972,908.4
speaker,3967,907.3
values,3953,904.1
test,3929,898.6
models,3921,896.8
linear,3853,881.2
analysis,3811,871.6
estimate,3800,869.1
systems,3701,846.4
distribution,3672,839.8
value,3633,830.9
input,3583,819.5
mean,3578,818.3
thus,3550,811.9
source,3498,800.0
images,3460,791.3
probability,3455,790.2
recognition,3454,790.0
sparse,3420,782.2
optimal,3419,782.0
algorithms,3418,781.7
target,3416,781.3
figure,3364,769.4
corresponding,3284,751.1
size,3262,746.0
average,3248,742.8
new,3209,733.9
estimated,3209,733.9
output,3195,730.7
solution,3191,729.8
spectral,3190,729.6
log,3180,727.3
processing,3158,722.3
snr,3121,713.8
learning,3068,701.7
parameter,3068,701.7
due,3021,690.9
note,3019,690.5
state,3019,690.5
acoustic,3010,688.4
consider,3000,686.1
process,2998,685.7
samples,2971,679.5
defined,2964,677.9
optimization,2946,673.8
large,2945,673.5
step,2937,671.7
index,2926,669.2
better,2898,662.8
therefore,2894,661.9
random,2886,660.1
compared,2871,656.6
high,2870,656.4
well,2851,652.0
experiments,2837,648.8
energy,2835,648.4
space,2799,640.2
frame,2789,637.9
let,2728,623.9
example,2722,622.5
follows,2711,620.0
coefficients,2696,616.6
phase,2695,616.4
vectors,2690,615.2
see,2663,609.0
similar,2661,608.6
scheme,2624,600.1
ieee,2623,599.9
classification,2597,594.0
accuracy,2586,591.4
point,2569,587.6
result,2519,576.1
quality,2519,576.1
applied,2499,571.5
single,2482,567.7
multiple,2462,563.1
best,2446,559.4
standard,2438,557.6
local,2417,552.8
considered,2416,552.6
audio,2408,550.7
form,2388,546.2
small,2356,538.8
original,2322,531.1
propose,2317,529.9
representation,2307,527.6
obtain,2306,527.4
total,2289,523.5
known,2282,521.9
without,2281,521.7
sequence,2279,521.2
framework,2276,520.5
maximum,2254,515.5
components,2237,511.6
presented,2222,508.2
design,2217,507.0
block,2216,506.8
min,2211,505.7
low,2192,501.3
because,2173,497.0
user,2169,496.1
structure,2167,495.6
domain,2164,494.9
possible,2164,494.9
further,2150,491.7
approaches,2146,490.8
nodes,2143,490.1
video,2138,489.0
